sentence	raw_sentence
اپنے پڑوسیوں کے ساتھ دوستانہ تعلقات	اپنے پڑوسیوں کے ساتھ دوستانہ تعلقات
کون کہہ رہاہے کہ ہیلی کاپٹروں کو پروازیں کرنی چائیں تھیں	کون کہہ رہاہے کہ ہیلی کاپٹروں کو پروازیں کرنی چائیں تھیں۔
تو اس کا نتیجہ کیا ہو تا ہے	تو اس کا نتیجہ کیا ہو تا ہے۔
آج کی افواج اصل میں	آج کی افواج اصل میں
بیوروکریٹس میں تنا اٹو سیکٹر تذبذب کا شکار	بیوروکریٹس میں تنا اٹو سیکٹر تذبذب کا شکار
رابی پیرزادہ کا ویڈیو لیک کرنیوالوں کے لیے پیغام	رابی پیرزادہ کا ویڈیو لیک کرنیوالوں کے لیے پیغام
قوم کو آج کسی مسیحا کی ضرورت ہے یا اجتماعی دانش کی	قوم کو آج کسی مسیحا کی ضرورت ہے یا اجتماعی دانش کی؟
برابر بنانا ہوگا تاکہ وہ اس عمل میں استعمال ہونے والی درجے ڈگری سینٹی گریڈگرمی کو برداشت کیا جا سکے	برابر بنانا ہوگا تاکہ وہ اس عمل میں استعمال ہونے والی درجے ڈگری سينٹی گريڈگرمی کو برداشت کیا جا سکے
پاکستان میں گاڑیوں کی طلب میں مسلسل اضافہ	پاکستان میں گاڑیوں کی طلب میں مسلسل اضافہ
تو معاشی کیوں ناجائز ٹھہری	تو معاشی کیوں ناجائز ٹھہری؟
وہ آپ ایک جھلک میں موٹروے پہ کلرکہار سے گزرتے ہوئے دیکھ سکتے ہیں	وہ آپ ایک جھلک میں موٹروے پہ کلرکہار سے گزرتے ہوئے دیکھ سکتے ہیں۔
مارگلہ ہلز میں کمرشل سرگرمیاں روکنے کا تفصیلی فیصلہ جاری	مارگلہ ہلز میں کمرشل سرگرمیاں روکنے کا تفصیلی فیصلہ جاری
تلوار ہے تیزی میں صہبائے مسلمانی	تلوار ہے تيزي ميں صہبائے مسلماني
تیز بارش ہو	تیز بارش ہو
انہیں اسرائیل بہت زیادہ پسند ہے	انہیں اسرائیل بہت زیادہ پسند ہے
پھر یہ ہنگامہ آرائی کیا ہے	پھر یہ ہنگامہ آرائی کیا ہے؟
یہ شرمندگی کا باعث ہے	یہ شرمندگی کا باعث ہے۔
مسئلہ یہ ہے کہ مریم نواز کے خلاف بھی احتساب ریفرنس چل رہا ہے	مسئلہ یہ ہے کہ مریم نواز کے خلاف بھی احتساب ریفرنس چل رہا ہے۔
یہاں جنس اک شعلہ نہیں جنس کی انچ کافی ہے	یہاں جنس اک شعلہ نہیں، جنس کی آنچ کافی ہے
پیپلز پارٹی کا قصہ بھی وہی ہے‘ جو ایم کیو ایم کا تھا	پیپلز پارٹی کا قصہ بھی وہی ہے‘ جو ایم کیو ایم کا تھا۔
اور کوئی طریقہ نہیں ہے	اور کوئی طریقہ نہیں ہے
جھوٹ بولنا کبیرہ گناہ ہے	جھوٹ بولنا کبیرہ گناہ ہے
آملیٹ تیار کرنا شروع کیا پتا چلا نمک ہم جلدی میں بھول گئےتھے	آملیٹ تیار کرنا شروع کیا پتا چلا نمک ہم جلدی میں بھول گئےتھے
جب اجتماعی ذوق ہی نہ ہو تو کیا کارنامے سرانجام دئیے جا سکتے ہیں	جب اجتماعی ذوق ہی نہ ہو تو کیا کارنامے سرانجام دئیے جا سکتے ہیں۔
تو ان کے دو تکیہ کلام تھے	تو ان کے دو تکیہ کلام تھے۔
”مت پوچھو بس یوں سمجھوغضب ہو گیا ہے	”مت پوچھو بس یوں سمجھو،غضب ہو گیا ہے۔
شوبز چھوڑنے والی عائشہ خان کے ہاں ننھے مہمان کی امد	شوبز چھوڑنے والی عائشہ خان کے ہاں ننھے مہمان کی امد
میں گواہی دیتا ہوں کہ اللہ گواہ ہے	میں گواہی دیتا ہوں کہ اللہ گواہ ہے
ایکسپورٹر ز کو بھی دھچکا لگا ہے	ایکسپورٹر ز کو بھی دھچکا لگا ہے
کو موثر انداز میں ذیادہ کرنے والا ایک نظام ایجاد کیا ہے جسے صندوق میں سورج کا نام دیا گیا ہے	کو مؤثر انداز میں ذيادہ کرنے والا ایک نظام ايجاد کیا ہے جسے صندوق میں سورج کا نام دیا گیا ہے
ﺍﺱ ﮐﮩﺎﻧﯽ ﻣﯿﮟ ﻣﺠﮭﮯ ﻣﺎﺭ ﺩﯾﺎ ﺟﺎﺋﮯ ﮔﺎ	ﺍﺱ ﮐﮩﺎﻧﯽ ﻣﯿﮟ ﻣﺠﮭﮯ ﻣﺎﺭ ﺩﯾﺎ ﺟﺎﺋﮯ ﮔﺎ
جن میں ایک عورت قطام بھی شامل تھی	"جن میں ایک عورت قطام"" بھی شامل تھی"""
کاندھوں پہ غم کی شال ہے اور چاند رات ہ	کاندھوں پہ غم کی شال ہے اور چاند رات ہ
کھانے میں کیا ہے	کھانے میں کیا ہے۔
لیتے ہی نام اس کا سوتے سے چونک اٹھے	لیتے ہی نام اس کا سوتے سے چونک اٹھے
ی حاصل نہیں کر سک	ی حاصل نہیں کر سک
خالق نے اس کا شعور انسانوں کی فطرت میں رکھ دیا ہے	خالق نے اس کا شعور انسانوں کی فطرت میں رکھ دیا ہے۔
بیہودہ ہی سہی کسی قسم کا تھیٹر زندہ تو ہے	بیہودہ ہی سہی کسی قسم کا تھیٹر زندہ تو ہے۔
تم ناراض تھیں	تم ناراض تھیں
میاں صاحب نے مجھ سے پوچھا کہ معاملات سنبھال لو گے	میاں صاحب نے مجھ سے پوچھا کہ معاملات سنبھال لو گے۔
قانوں شکن لوگوں کے سامنے حکومت کا قانون بھی بے بس نظر آتا ہے	قانوں شکن لوگوں کے سامنے حکومت کا قانون بھی بے بس نظر آتا ہے
رواں مالی سال ماہ میں پاکبھارت تجارت انتہائی کم	رواں مالی سال ماہ میں پاکبھارت تجارت انتہائی کم
منی ٹریل تو دور کی بات ہے	منی ٹریل تو دور کی بات ہے۔
یقین رکھیے	یقین رکھیے۔
میچ میں شکست پر رنویر سنگھ نے پاکستانی مداح سے کیا کہا	میچ میں شکست پر رنویر سنگھ نے پاکستانی مداح سے کیا کہا
اوراس میں دو آرا ہو سکتی ہیں	اوراس میں دو آرا ہو سکتی ہیں۔
لڑکے کا ریپ کرنے پر کیون اسپیسی پر سال قید کی تلوار لٹکنے لگی	لڑکے کا ریپ کرنے پر کیون اسپیسی پر سال قید کی تلوار لٹکنے لگی
ہر فن پارے میں مضمون کا تسلسل ضروری ہے	ہر فن پارے میں مضمون کا تسلسل ضروری ہے
شیخ سعدی کے اسلوب کی نمایاں خصوصیت ان کی سادگی اور سلاست ہے	شیخ سعدی کے اسلوب کی نمایاں خصوصیت ان کی سادگی اور سلاست ہے
کیا آپ مجھے پسند کرتے ہیں میں کہاں ہوں	کیا آپ مجھے پسند کرتے ہیں؟ میں کہاں ہوں؟
ڈیمی لوواٹو اور میکس ارچ نے منگنی کے ماہ بعد راہیں جدا کرلیں	ڈیمی لوواٹو اور میکس ارچ نے منگنی کے ماہ بعد راہیں جدا کرلیں
رائے ساز لوگوں کی اخلاقی ذمہ داری دوسروں سے زیادہ ہے	رائے ساز لوگوں کی اخلاقی ذمہ داری دوسروں سے زیادہ ہے۔
یاد دلانے والی تصاویر بنانا فائدے مند مشق ہے	یاد دلانے والی تصاویر بنانا فائدے مند مشق ہے
عامرخان دپیکا پڈوکون کے ساتھ کام کرنے کے خواہاں	عامرخان دپیکا پڈوکون کے ساتھ کام کرنے کے خواہاں
ونیزویلا میں افراط زر کی شرح بڑھ کر ریکارڈ فیصد پر	ونیزویلا میں افراط زر کی شرح بڑھ کر ریکارڈ فیصد پر
لیکن شروعات ایک عجیب ذہنی کیفیت میں ہوئی	لیکن شروعات ایک عجیب ذہنی کیفیت میں ہوئی۔
دوپٹے بھگو	دوپٹے بھگو
اس میں مولانا سمیع الحق جیسے علماء کا کردار ڈھکا چھپا نہیں	اس میں مولانا سمیع الحق جیسے علماء کا کردار ڈھکا چھپا نہیں۔
جان ہے تو جہان ہے	جان ہے تو جہان ہے
جاری نہیں کیا گیا ہے	جاری نہیں کیا گیا ہے
اور ایسا نہ کرنے کی صورت میں وہ پولیس کو اطلاع بھی دے سکتا ہے	اور ایسا نہ کرنے کی صورت میں وہ پولیس کو اطلاع بھی دے سکتا ہے
سحری کے وقت شروع ہونے والی بارشوں جل تھل کر دیا	سحری کے وقت شروع ہونے والی بارشوں جل تھل کر دیا
تو اس کی ذمہ داری کس پر عائد ہوتی ہے	تو اس کی ذمہ داری کس پر عائد ہوتی ہے؟
وہ سمجھ نہیں آیا	وہ سمجھ نہیں آیا
میں فواد خان کے ساتھ بہترین نظر اتی ہوں	میں فواد خان کے ساتھ بہترین نظر اتی ہوں
سیکورٹی ایجنسی کی دستاویز	سیکورٹی ایجنسی کی دستاویز
اور یہی وجہ ہے	اور یہی وجہ ہے
نظر اتارنے کیلئے صدقہ دیا کرتی ہوں	نظر اتارنے کیلئے صدقہ دیا کرتی ہوں
فلکیات قدرتی علوم کی ایک ایسی مخصوص شاخ ہے	فلکیات قُدرتی علوم کی ایک ایسی مخصُوص شاخ ہے
ایمازون کا سوشل میڈیا سلیبرٹی کے ساتھ کاروبار کا منصوبہ	ایمازون کا سوشل میڈیا سلیبرٹی کے ساتھ کاروبار کا منصوبہ
اس سے اقوام کے درمیان تعلقات کو بہتر بنایا جا تا ہے	اس سے اقوام کے درمیان تعلقات کو بہتر بنایا جا تا ہے۔
پھولوں کی طرح ہر لمحہ خوبصورت ہوتا ہے	پھولوں کی طرح ہر لمحہ خوبصورت ہوتا ہے۔
یہ ان کا کارنامہ رہے گا	یہ ان کا کارنامہ رہے گا۔
فیکٹریوں کو بھی مسمار کیا جا رہا ہے	فیکٹریوں کو بھی مسمار کیا جا رہا ہے
آپ کے والد کیا کام کرتے ہیں	آپ کے والد کیا کام کرتے ہیں
سونے کی قیمتوں میں کمی کا رجحان	سونے کی قیمتوں میں کمی کا رجحان
وہ میری آنکھ کا تارا ہے	وہ میری آنکھ کا تارا ہے
معاشرہ بری طرح منقسم ہے	معاشرہ بری طرح منقسم ہے۔
تو نواز شریف پھر کس چیز کا رونا رو رہے ہیں	تو نواز شریف پھر کس چیز کا رونا رو رہے ہیں؟
اس سے سماجی فساد جنم لیتا ہے	اس سے سماجی فساد جنم لیتا ہے۔
یہ رپورٹ غلط نہیں	یہ رپورٹ غلط نہیں
ایک بات البتہ کبھی نگاہوں سے اوجھل نہیں ہونی چاہیے	ایک بات البتہ کبھی نگاہوں سے اوجھل نہیں ہونی چاہیے۔
پھر جو انہیں ختم کرنا چاہتے تھے	پھر جو انہیں ختم کرنا چاہتے تھے۔
کریلے گوشت بڑے مزے کے ہیں	کریلے گوشت بڑے مزے کے ہیں
انگریزی پڑھنے والے تھوڑے ہیں	انگریزی پڑھنے والے تھوڑے ہیں۔
جہانگیر ترین کون ہیں	جہانگیر ترین کون ہیں؟
میامی فلوریڈا آکسارڈ کیلیفورنیا	میامی فلوریڈا آکسارڈ کیلی_فورنیا
قادری کی طرح ہمیں شرپسند عناصر کہا جائے گا	قادری کی طرح ہمیں شرپسند عناصر کہا جائے گا
تو سب ایک ہی رائے رکھتے ہیں	تو سب ایک ہی رائے رکھتے ہیں۔
سال کے اس حصے میں موسم کا کچھ پتا نہیں ہوتا	سال کے اس حصے میں موسم کا کچھ پتا نہیں ہوتا
وہ اس بلڈنگ میں گئے جہاں بینکروں کا اجلاس ہو رہا تھا	وہ اس بلڈنگ میں گئے جہاں بینکروں کا اجلاس ہو رہا تھا۔
صاحب جب کمرے کی چوبی دیواریں لرزنے لگیں	صاحب جب کمرے کی چوبی دیواریں لرزنے لگیں
اس کے دو اسباب ہیں	اس کے دو اسباب ہیں۔
طاہر مسعود افسانہ نگار ہیں	طاہر مسعود افسانہ نگار ہیں۔
ایک سے دوسرے چھوٹے شہر چلے جائیں کوئی فرق محسوس نہیں ہو گا	ایک سے دوسرے چھوٹے شہر چلے جائیں کوئی فرق محسوس نہیں ہو گا۔
بالآخر تیری مصروفیت کے پیش نظریہ تہہ ہوا کے اب تجھے یاد نہ کیا جائے	بالآخر تیری مصروفیت کے پیش نظریہ تہہ ہوا کے اب تجھے یاد نہ کیا جائے
اشک اوروں نے لکھے میں نے غبارے چھوڑے	اشک اوروں نے لکھے مَیں نے غبارے چھوڑے
میری خوش قسمتی ہے	میری خوش قسمتی ہے۔
کہتا ہے کہ میں اپنی ساس کے پاس جا کے رہتا ہوں	کہتا ہے کہ میں اپنی ساس کے پاس جا کے رہتا ہوں
بہت سے کامیاب کھلاڑی بدترین کپتان ثابت ہوئے ہیں	بہت سے کامیاب کھلاڑی بدترین کپتان ثابت ہوئے ہیں۔
مجھے ایک کرسی لا کر دو	مجھے ایک کرسی لا کر دو
لیکن ہمارے ہاں جن کا دیہات سے براہ راست تعلق ہے	لیکن ہمارے ہاں جن کا دیہات سے براہ راست تعلق ہے۔
اس وقت ویسی ہی قربانی اور جذبے کی ضرورت ہے	اس وقت ویسی ہی قربانی اور جذبے کی ضرورت ہے
عربی سامی زبانوں میں سب سے بڑی زبان ہے	عربی سامی زبانوں میں سب سے بڑی زبان ہے
علامہ کو سمجھ نہ آئی کہ دھرنا کب ختم کرنا چاہیے	علامہ کو سمجھ نہ آئی کہ دھرنا کب ختم کرنا چاہیے۔
سائنسی اور تکنیکی	سائنسی اور تکنیکی
کچھ مبصرین کے لئے حیران کن ہے	کچھ مبصرین کے لئے حیران کن ہے
اسلامآباد پاکستان کینبررا آسٹریلیا	اسلام_آباد پاکستان کینبررا آسٹریلیا
شہروں کی صفائی سے لے کر زراعت کی بہتری تک	شہروں کی صفائی سے لے کر زراعت کی بہتری تک۔
تو وہ اس کے لیے تیار ہیں	تو وہ اس کے لیے تیار ہیں
اور وہ ترکیب نحوی	اور وہ ترکیب نحوی
کتنی چیزوں سے بچ نکلے	کتنی چیزوں سے بچ نکلے۔
ان فلسفیوں کو کب سے ہم سنتے آ رہے ہیں	ان فلسفیوں کو کب سے ہم سنتے آ رہے ہیں۔
ہیری پوٹر میں بھی کورونا وائرس کی تصدیق	ہیری پوٹر میں بھی کورونا وائرس کی تصدیق
وزیراعظم کا چین کے کاروباری افراد پر پاکستان میں علاقائی دفاتر قائم کرنے کیلئے زور	وزیراعظم کا چین کے کاروباری افراد پر پاکستان میں علاقائی دفاتر قائم کرنے کیلئے زور
پاکستان میں یہ آخری دفاعی مورچہ ہوتا ہے	پاکستان میں یہ آخری دفاعی مورچہ ہوتا ہے۔
عبرت کا نشان بنا دینا چاہیے	عبرت کا نشان بنا دینا چاہیے؟
آپ کس طرح کا کام کریں گے	آپ کس طرح کا کام کریں گے؟
نواز شریف اگر سرخرو ہوتے ہیں	نواز شریف اگر سرخرو ہوتے ہیں۔
جنوبی کوریا لڑکیوں کو بلیک میل کرکے ان کی فحش ویڈیوز پھیلانے کا اسکینڈل	جنوبی کوریا لڑکیوں کو بلیک میل کرکے ان کی فحش ویڈیوز پھیلانے کا اسکینڈل
امدن میں اضافہ نہ ہوسکا	امدن میں اضافہ نہ ہوسکا
تو کسی اور نے آ کے بنانی ہیں	تو کسی اور نے آ کے بنانی ہیں۔
عظیم وصف ہی انسان کا اداسی ہے	عظیم وصف ہی انسان کا اداسی ہے
صلاحیت کے بل بوتے بہت سے لوگوں نے دنیا پر حکمرانی کی ہے	صلاحیت کے بل بوتے بہت سے لوگوں نے دنیا پر حکمرانی کی ہے
امریکی چاہتے ہیں کہ ہم ا ن کے لیے افغانستان کے معاملات درست کریں	امریکی چاہتے ہیں کہ ہم ا ن کے لیے افغانستان کے معاملات درست کریں۔
نہ ہی معزز وکلا صاحبان کے	نہ ہی معزز وکلا صاحبان کے۔
میں اگر انقلاب کا مخالف ہوں	میں اگر انقلاب کا مخالف ہوں۔
باجوڑ ایجنسی میں پولیو ٹیم پر حملہ دو لیوی اہلکار زخمی	باجوڑ ایجنسی میں پولیو ٹیم پر حملہ دو لیوی اہلکار زخمی
تم کیا کرنے والے ہو	تم کیا کرنے والے ہو
عراق کے ساتھ سرحدوں پر پہاڑی سلسلے ہیں	عراق کے ساتھ سرحدوں پر پہاڑی سلسلے ہیں
جناب پرویز رشیدسنائیں آپ کروڑوں کہاں سے لائیں گے	جناب پرویز رشید!سنائیں !آپ کروڑوں کہاں سے لائیں گے؟
اس کو اپنی قسمت قبول کرنا پڑی	اس کو اپنی قسمت قبول کرنا پڑی۔
باہمی چپقلشیں اور لڑائیاں خود ہی حل کرنی پڑتی ہیں	باہمی چپقلشیں اور لڑائیاں خود ہی حل کرنی پڑتی ہیں۔
ثنا فخر فلم میں چوہدری اسلم کی اہلیہ بنیں گی	ثنا فخر فلم میں چوہدری اسلم کی اہلیہ بنیں گی
انکی شامیں رنگین ہوتیں سرمستی سے سرشار	انکی شامیں رنگین ہوتیں، سرمستی سے سرشار۔
لکڑی اکٹھی کر کے بعد چولہا ال کر صاف کیا گیا	لکڑی اکٹھی کر کے بعد چولہا ال کر صاف کیا گیا
جب ذہن بن جاتا ہے	جب ذہن بن جاتا ہے۔
ایسی صورتحال انصاف کے تقاضوں پر کہاں پورا اترتی ہے	ایسی صورتحال انصاف کے تقاضوں پر کہاں پورا اترتی ہے؟
کبری خان کے اندر چھپا یہ ٹیلنٹ بھی دنیا کے سامنے گیا	کبری خان کے اندر چھپا یہ ٹیلنٹ بھی دنیا کے سامنے گیا
اور اس وقت کی بڑی علمی و ادبی شخصیات پر مضامین لکھے گئے	اور اس وقت کی بڑی علمی و ادبی شخصیات پر مضامین لکھے گئے
مقبول فلموں کے سیکوئلز کا انتظار عوام کو رہتا ہے	مقبول فلموں کے سیکوئلز کا انتظار عوام کو رہتا ہے۔
وہ میرے ساتھ مقابلہ کرتی ہے	وہ میرے ساتھ مقابلہ کرتی ہے
پاکستان کی مقبول ترین اسکرین جوڑی اب کیا کرنے والی ہے	پاکستان کی مقبول ترین اسکرین جوڑی اب کیا کرنے والی ہے
لیکن کیا کرتے کہاں دستک دیتے	لیکن کیا کرتے، کہاں دستک دیتے؟
چھوڑو یار پھر کبھی بتاؤں گا	چھوڑو یار ، پھر کبھی بتاؤں گا۔
مجھے اطلاع دینے سے چوکنا مت	مجھے اطلاع دینے سے چوکنا مت
علی نور جگر کی سنگین بیماری میں مبتلا ہسپتال میں زیر علاج	علی نور جگر کی سنگین بیماری میں مبتلا ہسپتال میں زیر علاج
جینیفر لارنس کی ریڈ سپیرو کی تصویر پر تنازع	جینیفر لارنس کی ریڈ سپیرو کی تصویر پر تنازع
بہرحال ایک بات تو ہو چکی	بہرحال ایک بات تو ہو چکی۔
وہ حجرے کی طرف چل	وہ حجرے کی طرف چل
ہولی وڈ اداکار پر کم عمر خاتون کو افس وائفبنا کر رکھنے کا الزام	ہولی وڈ اداکار پر کم عمر خاتون کو افس وائفبنا کر رکھنے کا الزام
اسی طرح آج کل بلاگنگ میں بھی جدت آتی جارہی ہے	اسی طرح آج کل بلاگنگ میں بھی جدت آتی جارہی ہے
لیکن ایک اور کیس میں تفتیش کرنے والوں کو لگا	لیکن ایک اور کیس میں تفتیش کرنے والوں کو لگا
سلطنت کے نئے راجا کے انتخاب کی سیاست اور ڈونکی کنگ	سلطنت کے نئے راجا کے انتخاب کی سیاست اور ڈونکی کنگ
ئی سی سی ٹیسٹ رینکنگ اوول کے ڈبل سنچری میکریونس خان پہلی پانچ پوزیشن میں شامل	ئی سی سی ٹیسٹ رینکنگ اوول کے ڈبل سنچری میکریونس خان پہلی پانچ پوزیشن میں شامل
سات سمندر پار کے نام سے لکھا	سات سمندر پار کے نام سے لکھا
بیل اٹ پیکج پر جاری مذاکرات کے باعث ائی ایم ایف مشن کے دورے میں تاخیر کا امکان	بیل اٹ پیکج پر جاری مذاکرات کے باعث ائی ایم ایف مشن کے دورے میں تاخیر کا امکان
اگر صرف ہمارے پاس ایک باغ ہوتا	اگر صرف ہمارے پاس ایک باغ ہوتا
محلول کا ارتکاز	محلول کا ارتکاز
یہ ریاست کی طرح جدید نہیں ہے	یہ ریاست کی طرح جدید نہیں ہے۔
کیونکہ وہ بہت کمزور ہو چکی ہوتی ہیں	کیونکہ وہ بہت کمزور ہو چکی ہوتی ہیں
گزرنے کیلیے بہت وقت درکار ہوتا ہےمصروف ترین	گزرنے کیلیے بہت وقت درکار ہوتا ہے۔مصروف ترین
شنیرا اکرم کا شہریوں کیلئے سی ویو بند کرنے کا مطالبہ	شنیرا اکرم کا شہریوں کیلئے سی ویو بند کرنے کا مطالبہ
سیاست جب لبرل اخلاقیات کے تحت سچ کی پابند ہوتی ہے	سیاست جب لبرل اخلاقیات کے تحت سچ کی پابند ہوتی ہے۔
اس کا سبب سیاسی استحکام ہے	اس کا سبب سیاسی استحکام ہے۔
معذرت میں نہیں آسکوں گا	معذرت میں نہیں آسکوں گا
ٹام کو ڈھائی بجے تک گھر پہنچنا ہے	ٹام کو ڈھائی بجے تک گھر پہنچنا ہے۔
جب انسان مل کر رہتے ہیں	جب انسان مل کر رہتے ہیں۔
موزمبیق	موزمبیق
جھانوی کپور اب ایئر فورس پائلٹ بنیں گی	جھانوی کپور اب ایئر فورس پائلٹ بنیں گی
اگر ایسی بات میں وزن بھی ہے	اگر ایسی بات میں وزن بھی ہے۔
لیکن کیسے	لیکن کیسے؟
لا پاز محکمہ ایل سیلواڈور کا ایک رہائشی علاقہ ہے	لا پاز محکمہ ایل سیلواڈور کا ایک رہائشی علاقہ ہے
دیا جائے تو پتا نہیں وہ کیا گل کھلائیں	دیا جائے تو پتا نہیں وہ کیا گل کھلائیں۔
ہم ایک ویران علاقے سے گزر رہے تھے	ہم ایک ویران علاقے سے گزر رہے تھے
انگریزی اور ترکی زبانوں میں کئی کتابوں کے مصنف ہیں	انگریزی اور ترکی زبانوں میں کئی کتابوں کے مصنف ہیں۔
خون سے بننے	خون سے بننے
انڈیا کے لوگوں کے مقابلے میں پاکستانی زیادہ خوش کیوں	انڈیا کے لوگوں کے مقابلے میں پاکستانی زیادہ خوش کیوں
ہم کہاں سے آئے اور کہاں چلے	ہم کہاں سے آئے اور کہاں چلے؟
کو معطل کیا گیا تو آپ نے پھر نظم	کو معطل کیا گیا تو آپ نے پھر نظم
برطانیہ فرانس جرمنی اور ترکی نے اس کی حمایت میں بیانات دیے	برطانیہ، فرانس، جرمنی اور ترکی نے اس کی حمایت میں بیانات دیے۔
ہر طاقت ور شخص کے گرد یہ فنکار محاصرہ بنا لیتے ہیں	ہر طاقت ور شخص کے گرد یہ فنکار محاصرہ بنا لیتے ہیں۔
سینکڑوں لوگ اب تک مارے اور غائب کئے جا چکے ہیں	سینکڑوں لوگ اب تک مارے اور غائب کئے جا چکے ہیں
ارجنٹائن کوویڈ مظاہرین نے حکومت سے مطالبہ کیا کہ وہ لاک ڈا	ارجنٹائن کوویڈ مظاہرین نے حکومت سے مطالبہ کیا کہ وہ لاک ڈا
ہمارا سماجی ڈھانچہ ترکی اور ملائشیا سے بہت مختلف ہے	ہمارا سماجی ڈھانچہ ترکی اور ملائشیا سے بہت مختلف ہے۔
خواتین پر گھریلو تشدد کے خاتمے کی مہم رکو اور روکو	خواتین پر گھریلو تشدد کے خاتمے کی مہم رکو اور روکو
وقت کا کیا ہے گزرتا ہے گزر جائے گا	وقت کا کیا ہے گزرتا ہے گزر جائے گا
تو یہ قبضہ ہمیشہ کیلئے برقرار رہے گا	تو یہ قبضہ ہمیشہ کیلئے برقرار رہے گا؟
متاثرین کی تعداد سب سے زیادہ ہونے کے باوجود	متاثرین کی تعداد سب سے زیادہ ہونے کے باوجود
جو واردات کے بعد فرار ہو گیا	جو واردات کے بعد فرار ہو گیا
اس مہنگائی کے مشکل ترین دور میں	اس مہنگائی کے مشکل ترین دور میں
شان کے بعد ریما بھی ارطغرل غازی کے پاکستان میں دکھائے جانے پر ناخوش	شان کے بعد ریما بھی ارطغرل غازی کے پاکستان میں دکھائے جانے پر ناخوش
میرے لیے یہ خوابوں کا دور تھا	میرے لیے یہ خوابوں کا دور تھا۔
سکر ایوارڈ یافتہ ایما اسٹون نے خفیہ طور پر منگنی کرلی	سکر ایوارڈ یافتہ ایما اسٹون نے خفیہ طور پر منگنی کرلی
اداکارہ عظمی خان پر تشدد گھر میں توڑ پھوڑ کی ویڈیوز وائرل مقدمہ درج	اداکارہ عظمی خان پر تشدد گھر میں توڑ پھوڑ کی ویڈیوز وائرل مقدمہ درج
ایسی باتیں ہم اور ہمارے دانشور کر رہے ہیں	ایسی باتیں ہم اور ہمارے دانشور کر رہے ہیں۔
جن کی مدد سے مساواتی مکالمہ	جن کی مدد سے مساواتی مکالمہ
اب ہرطرف اتنا پھیلا و ہے کہ گاڑی چلاتے وقت انسان تھک جاتاہے	اب ہرطرف اتنا پھیلا ؤ ہے کہ گاڑی چلاتے وقت انسان تھک جاتاہے۔
پولیس افسران کس کے احکامات کی تعمیل کر رہے تھے	پولیس افسران کس کے احکامات کی تعمیل کر رہے تھے؟
ان کی گفتگو خاص طور پر اس لیے اہمیت کی حامل تھی	اُن کی گفتگو خاص طور پر اِس لیے اَہمیت کی حامل تھی
ن لیگ اب کیا کرے	ن لیگ اب کیا کرے؟
نہ پاکستان کو ایٹم بم کی ضرورت تھی	نہ پاکستان کو ایٹم بم کی ضرورت تھی۔
ہریالی کی وجہ سے باغوں کا شہر بھی کہا جاتا ہے	ہریالی کی وجہ سے باغوں کا شہر بھی کہا جاتا ہے
مجھے اردو بولنا پسند ہے	مجھے اردو بولنا پسند ہے۔
ٹام بہرہ ہے	ٹام بہرہ ہے
پاکستان کیا کر سکتا تھا	پاکستان کیا کر سکتا تھا؟
برامدات میں سست روی کے باوجود تجارتی خسارہ ارب ڈالر کم کرنے کا ہدف	برامدات میں سست روی کے باوجود تجارتی خسارہ ارب ڈالر کم کرنے کا ہدف
تو وہ تنقیدکا حق اور احتساب کا ایک نظام بھی دیتا ہے	تو وہ تنقیدکا حق اور احتساب کا ایک نظام بھی دیتا ہے۔
ابھی تو بہت سارے دریاسامنے ہیں	ابھی تو بہت سارے دریاسامنے ہیں۔
ہمیں کہیں سے آغاز کرنا ہے	ہمیں کہیں سے آغاز کرنا ہے
اوکلینڈ کیلیفورنیا چاندر ایریزونا	اوک_لینڈ کیلی_فورنیا چاندر ایریزونا
مقامی منڈی میں چینی مصنوعات کی بھرمار پر صنعت کار پریشان	مقامی منڈی میں چینی مصنوعات کی بھرمار پر صنعت کار پریشان
سوشل میڈیا کے ذریعے سیاستدان عوام سے بات چیت کرتے ہیں	سوشل میڈیا کے ذریعے سیاستدان عوام سے بات چیت کرتے ہیں۔
برطانوی شہزادہ اور امریکی اداکارہ شادی کے بندھن میں بندھ گئے	برطانوی شہزادہ اور امریکی اداکارہ شادی کے بندھن میں بندھ گئے
دیکھ مگر پیار سے	دیکھ مگر پیار سے
بدن کے کرب کو وہ بھی سمجھ نہ پائے گا	بدن کے کرب کو وہ بھی سمجھ نہ پائے گا
برامدات فیصد بڑھ کر ارب کروڑ ڈالر سے زائد	برامدات فیصد بڑھ کر ارب کروڑ ڈالر سے زائد
نامور براڈکاسٹر ثریا شہاب انتقال گرگئیں	نامور براڈکاسٹر ثریا شہاب انتقال گرگئیں
بااثر شخصیات کی فہرست میں شامل	بااثر شخصیات کی فہرست میں شامل
ناک کے بھی قریب آتی ہیں	ناک کے بھی قریب آتی ہیں
وزارت نے کہا	وزارت نے کہا
یے لڑکا ہے	یے لڑکا ہے
وہ زمین پہ کھڑا ہوا تھا	وہ زمین پہ کھڑا ہوا تھا۔
ان کیلئے حالات خراب کر کے نقصان ہمارا ہوا ہے	ان کیلئے حالات خراب کر کے نقصان ہمارا ہوا ہے۔
درست سمت میں آگے بڑھ رہا ہے	درست سمت میں آگے بڑھ رہا ہے۔
